supplier,vnr,ean,name,default_qty,unit,note
H-Berg,23353,,CHIA FRÆ 400 GR,,,
H-Berg,23378,,KÍNÓAFRÆ 400GR,,,
H-Berg,23349,,HAMPFRÆ 150GR,,,
H-Berg,23891,,HUSK 200GR,,,
H-Berg,23441,,KÓKOSFLÖGUR M/KARAMELLU,,,
H-Berg,23334,,KÓKOSFLÖGUR ÓRISTAÐAR,,,
H-Berg,23335,,KÓKOSFLÖGUR RISTAÐAR,,,
H-Berg,23390,,MÖNDLUMJÖL HVÍTT 250 GR,,,
H-Berg,23316,,KÓKOSMJÖL FÍNT 500 G,,,
H-Berg,23325,,KÓKOSMJÖL FÍNT 250 GR,,,
H-Berg,23703,,KÓKOSMJÖL GRÓFT 250 GR,,,
H-Berg,23381,,KÓKOS PÁLMASYKUR 300 GR,,,
H-Berg,23462,,GULLRASPUR 400gr,,,
H-Berg,23434,,GRANÓLA M/JARÐABERJUM 500GR,,,
H-Berg,23352,,GRANÓLA M/MÚSLÍ TRÖNUBER 1 KG,,,
H-Berg,23330,,HNETUSMJÖR 340 GR,,,
H-Berg,23440,,HNETUSMJÖR 1 KG,,,
H-Berg,23331,,KASJÚSMJÖR 340GR,,,
H-Berg,23332,,MÖNDLUSMJÖR 340 GR,,,
H-Berg,23916,,AVOCADO OLÍA 500 ml,,,
H-Berg,23917,,MCT olía 250 ml,,,
H-Berg,23377,,KÓKOSOLÍA BRAGÐLAUS 500ML LÍFRÆN,,,
H-Berg,23341,,KASJÚ BROTNAR 250GR,,,
H-Berg,23327,,KASJÚ HEILAR RISTAÐAR 250 GR,,,
H-Berg,23363,,ÁVAXTA- OG HNETUBLANDA,,,
H-Berg,23396,,MÖNDLUR M/DÖKKU SÚKKULAÐI 150 GR,,,
H-Berg,23392,,MÖNDLUR M/PIPAR 150GR,,,
H-Berg,23399,,KARAMELLUMÖNDLUR 150 GR,,,
H-Berg,20864,,KASJÚHNETUR M/SÚKKULAÐI 100 GR,,,
H-Berg,20833,,HESLIHNETUR M/SÚKKULAÐI,,,
H-Berg,24012,,Súkkulaði pretzel 100 g,,,
H-Berg,23364,,Chili Hrískökur 100 g,,,
H-Berg,23383,,Mexikanó snakk 100 g,,,
H-Berg,23380,,Wasabi hnetur 100 g,,,
H-Berg,23395,,Ristaður og saltaður maís 150 g,,,
H-Berg,23376,,SALTHNETUR 400GR,,,
H-Berg,23333,,ORKUPOKINN 250 GR,,,
H-Berg,23903,,ORKUSTYKKI 50 GR,,,
H-Berg,23404,,MANGÓSNEIÐAR 200 GR,,,
H-Berg,23318,,GRÁFÍKJUR 400GR,,,
H-Berg,,,SVESKJUR 400GR,,,ekkert vnr í skjali; hægt að fá sérpakkað í öðruvísi poka
H-Berg,21106,,DÖÐLUR 400 GR,,,
H-Berg,23317,,DÖÐLUR SAXAÐAR 400 GR,,,
H-Berg,23323,,STÓRAR RÚSÍNUR,,,
H-Berg,23342,,TRÖNUBER 200GR,,,
H-Berg,23329,,Apríkósur 250 g,,,
H-Berg,21076,,PEKANHNETUR 100GR,,,
H-Berg,23346,,PISTASÍUR 100GR,,,
H-Berg,21069,,VALHNETUKJARNAR 100GR,,,
H-Berg,23313,,Furuhnetur 80 g,,,
H-Berg,23344,,Graskersfræ 100 g,,,
H-Berg,23343,,Goji ber 100 g,,,
H-Berg,23362,,SÓLBLÓMAFRÆ LÍTILL 300 g,,,
H-Berg,23419,,Fuglafóður 1 kg,,,
H-Berg,23418,,SÓLBLÓMAFRÆ 5 KG FATA (fuglafóður),,,
H-Berg,23453,,SÓLBLÓMAFRÆ 25 KG SEKKUR (fuglafóður),,,
H-Berg,23406,,Gular hálfbaunir 500gr,,,
H-Berg,23468,,Prótein snakk m/sýrður rjómi og laukur,,,
H-Berg,23475,,Prótein snakk m/ostur og trufflur,,,
H-Berg,23455,,Ávaxtahlaup jarðarber 35 g,,,
H-Berg,23454,,Ávaxtahlaup mangó 35 g,,,
